syl_len0,syl_len1,syl_len2,syl0,syl1,syl2,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,cv_ratio0,cv_ratio1,cv_ratio2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,comp_len,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_class0,syl_class1,syl_class2,onset_class0,onset_class1,onset_class2,koda_class0,koda_class1,koda_class2,nucleus_class0,nucleus_class1,nucleus_class2,syl_weight0,syl_weight1,syl_weight2,nomen,sylcnt,stress_class
4,2,2,Wett,b2,ro,o,ø,N,NN,SS,ø,C,CK,CKC,CKCC,CKCCL,L,CL,LCL,CLCL,CCLCL,ø,CVC,CVV,CVV,2,0,0,1,0,0,1,1,1,1,2,2,2,201,101,11,2,3,3,-1,CKC,CL,CL,C,C,C,C,?,?,K,L,L,1,1,1,T,3,antepaenultima
6,4,4,Schmer,zens,kind,ind,ø,N,NN,SAS,ø,C,CC,CCK,CCKC,CCKCA,C,CC,KCC,CKCC,CCKCC,ø,CCVC,CVCC,CVCC,3,3,3,1,2,2,2,1,1,1,1,1,2,1111,1201,1201,2,2,2,1,CCKC,AKCC,CKCC,CC,A,C,C,CC,CC,K,K,K,1,0,2,T,3,antepaenultima
2,2,4,Re,ve,rend,end,ø,N,R,SA,ø,C,CK,CKC,CKCK,CKCKC,C,CC,KCC,CKCC,KCKCC,ø,CVC,CV,CVCC,2,1,3,1,0,2,1,1,1,1,1,1,1,11,101,1111,3,2,2,1,CK,CK,CKCC,C,C,C,?,?,CC,K,K,K,1,0,0,T,3,antepaenultima
3,2,2,Spa,ti,um,um,ø,N,N,S,ø,C,CC,CCL,CCLC,CCLCL,C,KC,LKC,CLKC,LCLKC,ø,CCVV,CVV,VC,1,0,1,0,0,1,2,1,0,2,2,1,1,201,101,1001,2,3,3,1,CCL,CL,KC,CC,C,?,?,?,C,L,L,K,1,1,1,T,3,antepaenultima
3,4,2,ver,tra2,en,en,ver,V,V,AS,noacc,C,CK,CKC,CKCC,CKCCC,C,KC,DKC,CDKC,CCDKC,ø,CVC,CCVV,VC,2,1,1,1,0,1,1,2,0,1,2,1,1,111,111,1001,2,3,3,1,CKC,CCD,KC,C,CC,?,C,?,C,K,D,K,1,1,0,F,3,paenultima
4,2,3,gott,se,lig,ig,ø,A,NA,SS,ø,C,CK,CKC,CKCC,CKCCL,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CVC,2,0,2,1,0,1,1,1,1,1,2,1,2,201,101,111,2,2,3,-1,CKC,CL,CKC,C,C,C,C,?,C,K,L,K,1,1,1,F,3,antepaenultima
5,3,3,bauch,tan,zen,en,ø,V,NV,SS,ø,C,CD,CDC,CDCC,CDCCK,C,KC,AKC,CAKC,KCAKC,ø,CVVC,CVC,CVC,1,2,2,1,1,1,1,1,1,2,1,1,2,201,1101,1101,2,2,2,1,CDC,CKC,AKC,C,C,A,C,C,C,D,K,K,1,1,0,F,3,antepaenultima
3,2,4,mit,ma,chen,en,mit,V,V,AS,acc,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVC,CVC,2,2,2,1,1,1,1,1,1,1,1,1,1,1101,1001,1101,2,3,2,0,CKC,CK,CKC,C,C,C,C,?,C,K,K,K,1,1,0,F,3,antepaenultima
3,3,3,her,kom,men,en,ø,V,BV,SS,ø,C,CL,CLC,CLCC,CLCCK,C,KC,CKC,KCKC,CKCKC,ø,CVVC,CVC,CVC,1,2,2,1,1,1,1,1,1,2,1,1,2,111,101,2001,2,2,2,1,CLC,CK,CKC,C,C,C,C,?,C,L,K,K,1,1,0,F,3,antepaenultima
5,3,4,durch,wan,dern,ern,durch,V,PV,SS,acc,C,CK,CKC,CKCC,CKCCC,C,CC,KCC,CKCC,CCKCC,ø,CVCC,CVC,CVCC,3,2,3,2,1,2,1,1,1,1,1,1,2,211,1101,1111,2,2,2,1,CKCC,CKC,CKCC,C,C,C,CC,C,CC,K,K,K,2,1,0,F,3,paenultima
6,2,3,Schlam,pe,rei,ei,ø,N,V,SA,ø,C,CC,CCK,CCKC,CCKCC,D,CD,KCD,CKCD,CCKCD,ø,CCVC,CV,CVV,3,1,0,1,0,0,2,1,1,1,1,2,1,1111,101,11,2,2,4,-1,CCKC,CK,CD,CC,C,C,C,?,?,K,K,D,1,0,1,T,3,ultima
5,4,4,Trans,port,band,and,ø,N,NN,SS,ø,C,CC,CCK,CCKC,CCKCC,C,CC,KCC,CKCC,CCKCC,ø,CCVCC,CVCC,CVCC,4,3,3,2,2,2,2,1,1,1,1,1,2,1211,211,1201,2,2,2,-1,CCKCC,CKCC,CKCC,CC,C,C,CC,CC,CC,K,K,K,2,2,2,T,3,paenultima
2,4,4,Ma,sken,ball,all,ø,N,NN,SAS,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,CVC,2,2,2,1,1,1,1,1,1,1,1,1,2,1101,1101,111,2,2,2,-1,CKC,CKC,CKC,C,C,C,C,C,C,K,K,K,1,0,1,T,3,antepaenultima
3,2,2,plu,vi,al,al,ø,A,ø,ø,ø,C,CC,CCL,CCLC,CCLCL,C,LC,LLC,CLLC,LCLLC,ø,CCVV,CVV,VVC,1,0,0,0,0,1,2,1,0,2,2,2,0,111,101,11,3,3,4,-1,CCL,CL,LC,CC,C,?,?,?,C,L,L,L,1,1,1,F,3,ultima
2,4,3,ab,pfei,fen,en,ab,V,V,AS,acc,K,KC,KCA,KCAD,KCADC,C,KC,CKC,DCKC,ADCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,1,101,101,1101,2,3,2,1,KC,AD,CKC,?,A,C,C,?,C,K,D,K,1,1,0,F,3,antepaenultima
4,2,7,Pfer,de,schwanz,anz,ø,N,NN,SAS,ø,A,AL,ALC,ALCC,ALCCK,A,CA,KCA,CKCA,CCKCA,ø,CVVC,CV,CCVCC,1,1,4,1,0,2,1,1,2,2,1,1,2,111,101,1301,2,2,1,1,ALC,CK,CCKCA,A,C,CC,C,?,CA,L,K,K,1,0,2,T,3,antepaenultima
6,2,3,Schutz,an,zug,ug,ø,N,VN,ø,ø,C,CK,CKA,CKAK,CKAKC,C,LC,ALC,CALC,KCALC,ø,CVC,VC,CVVC,2,1,1,1,1,1,1,0,1,1,1,2,2,201,1001,201,2,3,2,0,CKA,KC,ALC,C,?,A,A,C,C,K,K,L,1,1,1,T,3,antepaenultima
3,3,3,Ver,hal,ten,en,ø,N,F,S,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,CCKC,KCCKC,ø,CVC,CVC,CVC,2,2,2,1,1,1,1,1,1,1,1,1,1,111,111,1101,2,2,2,1,CKC,CKC,CKC,C,C,C,C,C,C,K,K,K,1,1,0,T,3,paenultima
2,3,3,at,las,sen,en,ø,A,N,SA,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,11,1101,2,3,2,1,KC,CK,CKC,?,C,C,C,?,C,K,K,K,1,1,0,F,3,antepaenultima
4,4,3,Post,stem,pel,el,ø,N,NN,SS,ø,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,CCKC,KCCKC,ø,CVCC,CCVC,CVC,3,3,2,2,1,1,1,2,1,1,1,1,2,301,1201,111,1,2,2,-1,CKCC,CCKC,CKC,C,CC,C,CC,C,C,K,K,K,2,1,0,T,3,antepaenultima
6,4,3,gleich,blei,ben,en,ø,V,ø,SS,ø,C,CC,CCD,CCDC,CCDCC,C,KC,CKC,DCKC,CDCKC,ø,CCVVC,CCVV,CVC,1,1,2,1,0,1,2,2,1,2,2,1,2,211,111,1101,2,3,2,1,CCDC,CCD,CKC,CC,CC,C,C,?,C,D,D,K,1,1,0,F,3,antepaenultima
5,3,2,Brech,boh,ne,e,ø,N,VN,SS,ø,C,CC,CCK,CCKC,CCKCC,K,CK,LCK,CLCK,CCLCK,ø,CCVC,CVV,CV,3,0,1,1,0,0,2,1,1,1,2,1,2,211,101,1001,2,2,3,1,CCKC,CL,CK,CC,C,C,C,?,?,K,L,K,1,1,0,T,3,antepaenultima
3,3,4,Mun,ter,keit,eit,ø,N,A,SA,ø,C,CK,CKC,CKCC,CKCCK,C,DC,CDC,CCDC,KCCDC,ø,CVC,CVC,CVVC,2,2,1,1,1,1,1,1,1,1,1,2,1,2001,111,201,3,2,2,-1,CKC,CKC,CDC,C,C,C,C,C,C,K,K,D,1,0,1,T,3,antepaenultima
7,4,4,Schwarz,wei$,film,ilm,ø,N,AN,SS,ø,C,CC,CCK,CCKC,CCKCA,C,CC,KCC,CKCC,CCKCC,ø,CCVCC,CVVC,CVCC,4,1,3,2,1,2,2,1,1,1,2,1,2,311,201,1111,2,2,2,1,CCKCA,CDC,CKCC,CC,C,C,CA,C,CC,K,D,K,2,1,2,T,3,paenultima
2,2,4,er,3r,tern,ern,er,V,V,ø,noacc,K,KC,KCK,KCKC,KCKCC,C,CC,KCC,CKCC,CCKCC,ø,VC,VC,CVCC,1,1,3,1,1,2,0,0,1,1,1,1,1,11,11,1111,3,3,2,1,KC,KC,CKCC,?,?,C,C,C,CC,K,K,K,1,1,0,F,3,paenultima
4,4,3,Fett,trop,fen,en,ø,N,ø,SS,ø,C,CK,CKC,CKCC,CKCCC,C,KC,AKC,KAKC,CKAKC,ø,CVC,CCVC,CVC,2,3,2,1,1,1,1,2,1,1,1,1,2,201,111,1101,2,2,2,1,CKC,CCK,AKC,C,CC,A,C,?,C,K,K,K,1,1,0,T,3,antepaenultima
2,3,3,er,lie,gen,en,er,V,V,AS,noacc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,1,11,11,1101,3,4,2,1,KC,CL,CKC,?,C,C,C,?,C,K,L,K,1,1,0,F,3,paenultima
5,3,6,Preis,ver,gleich,eich,ø,N,NN,SS,ø,C,CC,CCD,CCDC,CCDCC,C,DC,CDC,CCDC,CCCDC,ø,CCVVC,CVC,CCVVC,1,2,1,1,1,1,2,1,2,2,1,2,2,211,111,211,2,2,2,0,CCDC,CKC,CCDC,CC,C,CC,C,C,C,D,K,D,1,1,1,T,3,antepaenultima
2,4,3,um,schu,len,en,um,V,V,AS,acc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,1,1001,101,1011,3,3,3,1,KC,CL,CKC,?,C,C,C,?,C,K,L,K,1,1,0,F,3,antepaenultima
2,2,2,la,bi,al,al,ø,A,A,S,ø,C,CK,CKC,CKCL,CKCLL,C,LC,LLC,CLLC,KCLLC,ø,CVC,CVV,VVC,2,0,0,1,0,1,1,1,0,1,2,2,1,11,101,11,3,3,4,0,CK,CL,LC,C,C,?,?,?,C,K,L,L,1,1,1,F,3,ultima
2,6,5,an,schmei,cheln,eln,an,V,V,AS,acc,K,KC,KCC,KCCC,KCCCD,C,CC,KCC,CKCC,DCKCC,ø,VC,CCVV,CVCC,1,1,3,1,0,2,0,2,1,1,2,1,1,1001,1101,1111,3,3,2,1,KC,CCD,CKCC,?,CC,C,C,?,CC,K,D,K,1,1,0,F,3,antepaenultima
3,3,3,mit,z1h,len,en,mit,V,V,AS,acc,C,CK,CKC,CKCA,CKCAL,C,KC,CKC,LCKC,ALCKC,ø,CVC,CVV,CVC,2,0,2,1,0,1,1,1,1,1,2,1,1,1101,101,1011,2,2,3,-1,CKC,AL,CKC,C,A,C,C,?,C,K,L,K,1,1,0,F,3,antepaenultima
1,3,5,8,ber,dampf,ampf,ueber,N,ø,SS,acc,L,LC,LCK,LCKC,LCKCC,A,CA,KCA,CKCA,CCKCA,ø,VV,CVC,CVCC,0,2,3,0,1,2,0,1,1,2,1,1,2,1,111,1201,5,2,2,1,L,CKC,CKCA,?,C,C,?,C,CA,L,K,K,1,0,2,T,3,antepaenultima
3,4,3,Tor,w1ch,ter,er,ø,N,NN,SS,ø,C,CL,CLC,CLCC,CLCCK,C,KC,CKC,CCKC,KCCKC,ø,CVVC,CVC,CVC,1,2,2,1,1,1,1,1,1,2,1,1,2,111,201,111,2,2,2,0,CLC,CKC,CKC,C,C,C,C,C,C,L,K,K,1,1,0,T,3,antepaenultima
2,5,3,an,feuch,ten,en,an,V,V,AS,acc,K,KC,KCC,KCCD,KCCDC,C,KC,CKC,CCKC,DCCKC,ø,VC,CVVC,CVC,1,1,2,1,1,1,0,1,1,1,2,1,1,1001,201,1101,3,2,2,1,KC,CDC,CKC,?,C,C,C,C,C,K,D,K,1,1,0,F,3,antepaenultima
3,4,3,kon,takt,los,os,ø,A,N,SA,ø,C,CK,CKC,CKCC,CKCCK,C,LC,CLC,CCLC,CCCLC,ø,CVC,CVCC,CVVC,2,3,1,1,2,1,1,1,1,1,1,2,1,1101,301,111,2,1,2,-1,CKC,CKCC,CLC,C,C,C,C,CC,C,K,K,L,1,2,1,F,3,paenultima
4,3,4,Hoch,ach,tung,ung,hoch,N,AN,SS,acc,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,CCKC,KCCKC,ø,CVVC,VC,CVC,1,1,2,1,1,1,1,0,1,2,1,1,2,201,101,1101,2,2,2,1,CLC,KC,CKC,C,?,C,C,C,C,L,K,K,1,1,1,T,3,antepaenultima
3,3,3,ver,h3h,nen,en,ver,V,V,AS,noacc,C,CK,CKC,CKCC,CKCCL,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CVC,2,0,2,1,0,1,1,1,1,1,2,1,1,111,101,2001,2,2,2,1,CKC,CL,CKC,C,C,C,C,?,C,K,L,K,1,1,0,F,3,paenultima
2,2,3,er,ei,len,en,er,V,V,AS,noacc,K,KC,KCD,KCDC,KCDCK,C,KC,CKC,DCKC,CDCKC,ø,VC,VV,CVC,1,0,2,1,0,1,0,0,1,1,2,1,1,11,1,1011,3,6,3,1,KC,D,CKC,?,?,C,C,?,C,K,D,K,1,1,0,F,3,paenultima
2,4,3,zu,trin,ken,en,zu,V,V,AS,acc,A,AL,ALC,ALCC,ALCCK,C,KC,CKC,CCKC,KCCKC,ø,CVV,CCVC,CVC,0,3,2,0,1,1,1,2,1,2,1,1,1,101,1111,1101,3,2,2,1,AL,CCKC,CKC,A,CC,C,?,C,C,L,K,K,1,1,0,F,3,antepaenultima
3,4,3,vor,rech,nen,en,vor,V,PV,SS,acc,C,CL,CLC,CLCC,CLCCK,C,KC,CKC,CCKC,KCCKC,ø,CVVC,CVC,CVC,1,2,2,1,1,1,1,1,1,2,1,1,2,111,111,2001,2,2,2,1,CLC,CKC,CKC,C,C,C,C,C,C,L,K,K,1,1,0,F,3,antepaenultima
3,3,3,ver,sal,zen,en,ver,V,V,AS,noacc,C,CK,CKC,CKCC,CKCCK,C,KC,AKC,CAKC,KCAKC,ø,CVC,CVC,CVC,2,2,2,1,1,1,1,1,1,1,1,1,1,111,111,1101,2,2,2,1,CKC,CKC,AKC,C,C,A,C,C,C,K,K,K,1,1,0,F,3,paenultima
1,3,4,e,wig,lich,ich,ø,ADV,A,SA,ø,L,LC,LCK,LCKC,LCKCC,C,KC,CKC,CCKC,KCCKC,noacc,VV,CVC,CVC,0,2,2,0,1,1,0,1,1,2,1,1,1,1,201,111,4,2,3,1,L,CKC,CKC,?,C,C,?,C,C,L,K,K,1,1,1,F,3,antepaenultima
2,3,5,un,ver,bl2mt,2mt,ø,A,A,AS,ø,K,KC,KCC,KCCK,KCCKC,C,CC,KCC,CKCC,CCKCC,ø,VC,CVC,CCVCC,1,2,4,1,1,2,0,1,2,1,1,1,1,1001,111,1211,3,2,2,1,KC,CKC,CCKCC,?,C,CC,C,C,CC,K,K,K,1,1,2,F,3,antepaenultima
3,6,3,zer,schlit,zen,en,zer,V,V,AS,noacc,A,AK,AKC,AKCC,AKCCC,C,KC,AKC,KAKC,CKAKC,ø,CVC,CCVC,CVC,2,3,2,1,1,1,1,2,1,1,1,1,1,111,111,1101,2,3,2,1,AKC,CCK,AKC,A,CC,A,C,?,C,K,K,K,1,1,0,F,3,paenultima
3,2,3,Sou,ta,che,e,ø,N,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,K,CK,KCK,CKCK,LCKCK,ø,CVV,CVC,CV,0,2,1,0,1,0,1,1,1,2,1,1,0,101,101,101,3,2,2,0,CL,CK,CK,C,C,C,?,?,?,L,K,K,1,1,0,T,3,paenultima
3,6,3,ver,schnup,fen,en,ver,V,V,AS,noacc,C,CK,CKC,CKCC,CKCCC,C,KC,AKC,KAKC,CKAKC,ø,CVC,CCVC,CVC,2,3,2,1,1,1,1,2,1,1,1,1,1,111,1101,1101,2,2,2,1,CKC,CCK,AKC,C,CC,A,C,?,C,K,K,K,1,1,0,F,3,paenultima
3,3,4,Emp,fin,dung,ung,ø,N,V,SA,ø,K,KC,KCA,KCAK,KCAKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,1001,1101,1101,3,2,2,1,KC,AKC,CKC,?,A,C,C,C,C,K,K,K,1,1,1,T,3,paenultima
2,2,3,ei,ni,gen,en,ein,V,A,S,acc,D,DC,DCK,DCKC,DCKCK,C,KC,CKC,KCKC,CKCKC,noacc,VV,CVC,CVC,0,2,2,0,1,1,0,1,1,2,1,1,1,1,1001,1101,6,3,2,1,D,CK,CKC,?,C,C,?,?,C,D,K,K,1,1,0,F,3,antepaenultima
3,3,3,Sor,tie,rer,er,ø,N,V,SA,ø,C,CK,CKC,CKCC,CKCCL,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CVC,2,0,2,1,0,1,1,1,1,1,2,1,1,111,101,21,2,3,3,-1,CKC,CL,CKC,C,C,C,C,?,C,K,L,K,1,1,0,T,3,paenultima
2,2,4,ar,ro,gant,ant,ø,A,R,SA,ø,K,KC,KCL,KCLC,KCLCK,C,CC,KCC,CKCC,LCKCC,ø,VC,CVV,CVCC,1,0,3,1,0,2,0,1,1,1,2,1,1,1,11,1201,4,3,2,1,K,CL,CKCC,?,C,C,?,?,CC,K,L,K,1,1,2,F,3,ultima
4,3,4,Grau,sam,keit,eit,ø,N,A,SA,ø,C,CC,CCD,CCDC,CCDCL,C,DC,CDC,CCDC,LCCDC,ø,CCVV,CVVC,CVVC,1,1,1,0,1,1,2,1,1,2,2,2,1,111,1101,201,3,3,2,1,CCD,CLC,CDC,CC,C,C,?,C,C,D,L,D,1,1,1,T,3,antepaenultima
2,6,4,Um,schlin,gung,ung,um,N,V,SA,acc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,KCKC,CKCKC,ø,VC,CCVC,CVC,1,3,2,1,1,1,0,2,1,1,1,1,1,1001,111,2001,3,3,3,1,KC,CCK,CKC,?,CC,C,C,?,C,K,K,K,1,1,1,T,3,paenultima
3,3,4,Rin,der,pest,est,ø,N,ø,SS,ø,C,CK,CKC,CKCC,CKCCK,C,CC,KCC,CKCC,CCKCC,ø,CVC,CVC,CVCC,2,2,3,1,1,2,1,1,1,1,1,1,2,1011,111,301,3,2,1,-1,CKC,CKC,CKCC,C,C,C,C,C,CC,K,K,K,1,0,2,T,3,antepaenultima
3,3,3,Pan,the,ist,ist,ø,N,N,AS,ø,C,CK,CKC,CKCC,CKCCL,C,CC,KCC,LKCC,CLKCC,acc,CVC,CVV,VCC,2,0,2,1,0,2,1,1,0,1,2,1,1,1101,101,201,2,2,2,-1,CKC,CL,KCC,C,C,?,C,?,CC,K,L,K,1,1,2,T,3,ultima
3,3,3,zer,fet,zen,en,zer,V,V,AS,noacc,A,AK,AKC,AKCC,AKCCK,C,KC,AKC,KAKC,CKAKC,ø,CVC,CVC,CVC,2,2,2,1,1,1,1,1,1,1,1,1,1,111,101,1101,2,2,2,1,AKC,CK,AKC,A,C,A,C,?,C,K,K,K,1,1,0,F,3,paenultima
2,3,4,an,lie,gend,end,ø,A,F,S,ø,K,KC,KCC,KCCL,KCCLC,C,CC,KCC,CKCC,LCKCC,ø,VC,CVV,CVCC,1,0,3,1,0,2,0,1,1,1,2,1,1,1001,11,1201,3,4,2,1,KC,CL,CKCC,?,C,C,C,?,CC,K,L,K,1,1,0,F,3,antepaenultima
2,4,4,ef,fekt,voll,oll,ø,A,NA,SS,ø,K,KC,KCK,KCKC,KCKCC,C,KC,CKC,CCKC,CCCKC,ø,VC,CVCC,CVC,1,3,2,1,2,1,0,1,1,1,1,1,2,1,301,111,4,1,2,1,K,CKCC,CKC,?,C,C,?,CC,C,K,K,K,1,2,1,F,3,paenultima
4,3,4,rein,sil,bern,ern,ø,A,ø,SS,ø,C,CD,CDC,CDCC,CDCCK,C,CC,KCC,CKCC,CCKCC,ø,CVVC,CVC,CVCC,1,2,3,1,1,2,1,1,1,2,1,1,2,1011,111,1111,3,3,2,1,CDC,CKC,CKCC,C,C,C,C,C,CC,D,K,K,1,1,0,F,3,antepaenultima
2,5,6,Ge,f2hls,mensch,ensch,ø,N,NN,SAS,ø,C,CK,CKC,CKCL,CKCLC,C,CC,KCC,CKCC,CCKCC,ø,CV,CVVCC,CVCC,1,1,3,0,2,2,1,1,1,1,2,1,2,101,211,2101,2,2,2,1,CK,CLCC,CKCC,C,C,C,?,CC,CC,K,L,K,0,2,2,T,3,paenultima
4,2,3,laus,b2,big,ig,ø,A,N,SA,ø,C,CD,CDC,CDCC,CDCCL,C,KC,CKC,LCKC,CLCKC,noacc,CVVC,CVV,CVC,1,0,2,1,0,1,1,1,1,2,2,1,1,111,101,201,3,3,2,1,CDC,CL,CKC,C,C,C,C,?,C,D,L,K,1,1,1,F,3,paenultima
2,2,3,ak,ku,rat,at,ø,A,ø,ø,ø,K,KC,KCL,KCLC,KCLCL,C,LC,CLC,LCLC,CLCLC,ø,VC,CVV,CVVC,1,0,1,1,0,1,0,1,1,1,2,2,0,1,101,111,4,3,3,1,K,CL,CLC,?,C,C,?,?,C,K,L,L,1,1,1,F,3,ultima
5,5,3,durch,schla,gen,en,durch,V,PV,SS,acc,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,LCKC,CLCKC,ø,CVCC,CCVV,CVC,3,1,2,2,0,1,1,2,1,1,2,1,2,211,111,1101,2,3,2,1,CKCC,CCL,CKC,C,CC,C,CC,?,C,K,L,K,2,1,0,F,3,paenultima
3,2,6,Wat,te,bausch,ausch,ø,N,NN,SS,ø,C,CK,CKC,CKCK,CKCKC,C,DC,CDC,KCDC,CKCDC,ø,CVC,CV,CVVC,2,1,1,1,0,1,1,1,1,1,1,2,2,101,101,201,2,2,2,1,CK,CK,CDC,C,C,C,?,?,C,K,K,D,1,0,1,T,3,antepaenultima
3,3,3,auf,mes,sen,en,auf,V,V,AS,acc,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,KCKC,CKCKC,ø,VVC,CVC,CVC,0,2,2,1,1,1,0,1,1,2,1,1,1,101,1001,1101,3,3,2,1,DC,CK,CKC,?,C,C,C,?,C,D,K,K,1,1,0,F,3,antepaenultima
1,2,3,A,do,nis,is,ø,N,N,S,ø,K,KC,KCL,KCLC,KCLCK,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVC,1,0,2,1,0,1,0,1,1,1,2,1,1,1,101,1101,4,2,2,1,K,CL,CKC,?,C,C,?,?,C,K,L,K,1,1,1,T,3,paenultima
2,3,4,ni,xen,haft,aft,ø,A,N,SAA,ø,C,CK,CKC,CKCC,CKCCK,C,CC,KCC,CKCC,CCKCC,ø,CVC,CCVC,CVCC,2,3,3,1,1,2,1,2,1,1,1,1,1,1001,1201,301,3,2,1,-1,CK,CCKC,CKCC,C,CC,C,?,C,CC,K,K,K,1,0,2,F,3,antepaenultima
2,3,1,Be,sti,e,e,ø,N,N,S,ø,C,CK,CKC,CKCC,CKCCL,K,LK,CLK,CCLK,KCCLK,ø,CVC,CVV,V,2,0,0,1,0,0,1,1,0,1,2,1,1,201,101,1,2,3,4,-1,CKC,CL,K,C,C,?,C,?,?,K,L,K,1,1,0,T,3,antepaenultima
3,3,4,Pad,del,boot,oot,ø,N,NN,SS,ø,C,CK,CKC,CKCK,CKCKC,C,LC,CLC,CCLC,KCCLC,ø,CVC,CVC,CVVC,2,2,1,1,1,1,1,1,1,1,1,2,2,101,111,201,2,2,2,1,CK,CKC,CLC,C,C,C,?,C,C,K,K,L,1,0,1,T,3,antepaenultima
2,3,3,er,mes,sen,en,er,V,V,AS,noacc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,11,1001,1101,3,3,2,1,KC,CK,CKC,?,C,C,C,?,C,K,K,K,1,1,0,F,3,paenultima
3,4,3,ent,flie,hen,en,ent,V,V,AS,noacc,K,KC,KCC,KCCC,KCCCC,C,KC,LKC,CLKC,CCLKC,ø,VCC,CCVV,VC,2,1,1,2,0,1,0,2,0,1,2,1,1,1101,111,1001,2,3,3,-1,KCC,CCL,KC,?,CC,?,CC,?,C,K,L,K,2,1,0,F,3,paenultima
4,3,2,Dreh,b2h,ne,e,ø,N,VN,SS,ø,C,CC,CCL,CCLC,CCLCL,K,CK,LCK,CLCK,LCLCK,ø,CCVV,CVV,CV,1,0,1,0,0,0,2,1,1,2,2,1,2,111,101,1001,2,3,3,1,CCL,CL,CK,CC,C,C,?,?,?,L,L,K,1,1,0,T,3,antepaenultima
5,3,4,Schau,rig,keit,eit,ø,N,A,SA,ø,C,CD,CDC,CDCK,CDCKC,C,DC,CDC,CCDC,KCCDC,ø,CVV,CVC,CVVC,0,2,1,0,1,1,1,1,1,2,1,2,1,101,111,201,3,3,2,1,CD,CKC,CDC,C,C,C,?,C,C,D,K,D,1,1,1,T,3,antepaenultima
3,3,3,mit,rei,sen,en,mit,V,V,AS,acc,C,CK,CKC,CKCC,CKCCD,C,KC,CKC,DCKC,CDCKC,ø,CVC,CVV,CVC,2,0,2,1,0,1,1,1,1,1,2,1,1,1101,11,1101,2,4,2,0,CKC,CD,CKC,C,C,C,C,?,C,K,D,K,1,1,0,F,3,antepaenultima
3,3,5,aus,tau,schen,en,aus,V,V,AS,acc,D,DC,DCC,DCCD,DCCDC,C,KC,CKC,DCKC,CDCKC,ø,VVC,CVV,CVC,0,0,2,1,0,1,0,1,1,2,2,1,1,101,101,1101,3,3,2,1,DC,CD,CKC,?,C,C,C,?,C,D,D,K,1,1,0,F,3,antepaenultima
2,2,4,ab,li,sten,en,ab,V,V,AS,acc,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVC,CVC,1,2,2,1,1,1,0,1,1,1,1,1,1,101,111,1101,2,3,2,1,KC,CKC,CKC,?,C,C,C,C,C,K,K,K,1,1,0,F,3,antepaenultima
6,3,7,Schwei,zer,deutsch,eutsch,ø,N,NN,SS,ø,C,CC,CCD,CCDA,CCDAK,A,DA,CDA,CCDA,KCCDA,ø,CCVV,CVC,CVVC,1,2,1,0,1,1,2,1,1,2,1,2,2,201,111,201,2,2,2,0,CCD,AKC,CDA,CC,A,C,?,C,A,D,K,D,1,0,1,T,3,antepaenultima
4,4,2,Senk,rech,te,e,ø,N,A,SA,ø,C,CK,CKC,CKCC,CKCCC,K,CK,CCK,KCCK,CKCCK,ø,CVCC,CVC,CV,3,2,1,2,1,0,1,1,1,1,1,1,1,1201,111,101,2,2,2,-1,CKCC,CKC,CK,C,C,C,CC,C,?,K,K,K,2,1,0,T,3,antepaenultima
