syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,pos,comp_struct,nomen,comp_len,Word,stress_class
ø,ø,n,ø,ø,ø,ø,C,KC,CKC,ø,ø,ø,ø,ein,e,ø,ø,ø,ø,D,ø,ø,ø,ø,ø,13,7,11,7,13,13,10,6,3,2,3,4,6,3,0,light,schwa,light,schwa,schwa,light,schwa,c,o,c,o,c,o,c,ø,ø,ø,ø,ø,CL,CKC,?,C,CC,C,C,C,C,C,?,C,?,C,?,C,D,K,K,K,K,L,K,3,2,4,2,3,2,3,1,0,1,0,1,0,1,0,1,2,1,1,1,1,2,1,1,1,1,2,1,ø,ø,ø,ø,CVC,CVV,CVC,0,1,3,1,2,0,2,ADV,ø,F,1,eingestandenermassen,paenultima
ø,ø,h,ø,ø,ø,ø,C,KC,CKC,ø,ø,ø,ø,ø,i,ø,ø,ø,ø,K,KC,KCC,ø,ø,ø,11,9,9,9,6,13,10,5,4,4,4,6,4,3,0,light,light,light,light,light,light,light,c,o,o,o,c,c,c,ø,CL,CL,CL,ø,ø,CKC,?,C,C,C,?,C,C,C,?,?,?,?,C,C,K,L,L,L,K,L,K,2,2,2,2,1,2,6,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,2,2,2,1,2,1,VC,CVV,CVV,CVV,ø,ø,CVC,1,0,0,0,1,1,2,A,ø,F,1,individualistisch,paenultima
ø,ø,n,ø,ø,ø,ieren,C,KC,CKC,ø,ø,ø,ø,ø,m,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,11,11,6,9,12,9,13,5,5,6,4,6,4,4,0,light,light,light,light,light,light,schwa,o,o,c,o,o,o,c,ø,CL,ø,CL,CL,CL,CKC,C,C,?,C,C,C,C,?,?,?,?,?,?,C,L,L,K,L,L,L,K,2,2,1,2,2,3,3,0,0,1,0,0,0,1,1,1,0,1,1,1,1,2,2,1,2,2,2,1,ø,CVV,ø,CVV,CVV,CVV,CVC,0,0,1,0,0,0,2,V,ø,F,1,miniaturisieren,paenultima
ø,ø,n,ø,ø,ø,ieren,C,KC,CKC,ø,ø,ø,ø,ver,v,ø,ø,ø,ø,C,ø,ø,ø,ø,noacc,11,11,10,7,12,9,13,3,3,5,3,6,4,4,0,light,light,light,light,light,light,schwa,c,o,o,c,o,o,c,ø,ø,CL,ø,CL,CL,CKC,C,CC,C,C,C,C,C,C,?,?,?,?,?,C,K,L,L,K,L,L,K,3,3,2,2,2,3,3,1,0,0,1,0,0,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,ø,ø,CVV,ø,CVV,CVV,CVC,2,1,0,2,0,0,2,V,ø,F,1,verproletarisieren,paenultima
ø,ø,n,ø,ø,ø,ieren,C,KC,CKC,ø,ø,ø,ø,ø,a,ø,ø,ø,ø,K,KC,ø,ø,ø,ø,6,9,12,7,11,9,13,6,4,6,3,5,4,4,0,light,light,light,light,light,light,schwa,c,o,o,c,o,o,c,ø,CL,CL,ø,CL,CL,CKC,?,C,C,C,C,C,C,?,?,?,?,?,?,C,K,L,L,K,L,L,K,1,2,2,2,2,3,3,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,2,2,1,2,2,1,VC,CVV,CVV,ø,CVV,CVV,CVC,1,0,0,2,0,0,2,V,ø,F,1,amerikanisieren,paenultima
ø,keit,t,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,ø,ø,Z,ø,ø,ø,ø,A,ø,ø,ø,ø,ø,9,7,12,7,7,13,12,4,3,4,3,3,4,4,0,light,light,schwa,schwa,light,light,light,o,c,c,o,o,c,c,ø,ø,ø,ø,CL,ø,ø,A,C,C,C,C,C,C,?,?,C,?,?,C,C,L,K,K,K,L,K,D,2,3,3,2,2,3,4,0,1,1,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,ø,CVC,ø,ø,CVV,ø,CVVC,0,2,2,1,0,2,1,N,ø,T,1,Zusammengehoerigkeit,sekunda
ø,ø,r,ø,ø,ø,ø,C,KC,CKC,ø,ø,ø,ø,ø,A,ø,ø,ø,ø,K,KC,KCC,ø,ø,ø,9,11,6,9,12,11,13,4,3,6,4,6,5,4,0,light,light,light,light,light,light,schwa,c,o,c,o,o,o,c,ø,ø,ø,CL,CL,CL,CKC,?,CC,?,C,C,C,C,C,?,?,?,?,?,C,K,L,K,L,L,L,K,2,3,1,2,2,2,3,1,0,1,0,0,0,1,0,2,0,1,1,1,1,1,2,1,2,2,2,1,VC,ø,ø,CVV,CVV,CVV,CVC,1,1,1,0,0,0,2,N,ø,T,0,Angloamerikaner,paenultima
ø,ø,s,ø,ø,ø,ø,C,KC,CKC,ø,ø,noacc,ø,ø,I,ø,ø,ø,ø,K,KC,KCC,ø,ø,ø,11,7,11,9,6,13,12,5,3,3,4,6,4,4,0,light,light,light,light,light,light,light,c,c,c,o,c,c,c,ø,ø,ø,CL,ø,ø,CKC,?,C,C,C,?,C,C,C,?,C,?,?,C,C,K,K,K,L,K,K,K,2,3,3,2,1,3,3,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,1,1,VC,CVC,ø,CVV,ø,ø,CVC,1,2,2,0,1,2,2,N,ø,T,1,Intellektualismus,paenultima
ø,ø,g,ø,ø,ø,ø,C,KC,CKC,ø,ø,ø,ø,ø,I,ø,ø,ø,ø,K,KC,KCC,ø,ø,ø,11,10,13,6,12,9,15,5,3,4,6,6,4,5,0,light,light,light,light,light,light,light,c,c,o,c,o,o,c,ø,ø,ø,ø,CL,CL,CKC,?,C,CC,?,C,C,C,C,C,?,?,?,?,C,K,K,L,K,L,L,K,2,2,4,1,2,3,4,1,1,0,1,0,0,1,0,1,2,0,1,1,1,1,1,2,1,2,2,1,VC,CVC,ø,ø,CVV,CVV,CVC,1,2,1,1,0,0,2,N,ø,T,1,Industrialisierung,paenultima
ø,ø,n,ø,ø,ø,ieren,C,KC,CKC,ø,ø,ø,ø,ø,k,ø,ø,ø,ø,C,ø,ø,ø,ø,ø,7,13,9,6,12,9,13,3,4,4,6,6,4,4,0,light,light,light,light,light,light,schwa,c,c,o,c,o,o,c,ø,ø,ø,ø,CL,CL,CKC,C,C,A,?,C,C,C,?,C,?,?,?,?,C,K,K,L,K,L,L,K,3,3,2,1,2,3,3,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,2,1,2,2,1,ø,CVC,CVV,ø,CVV,CVV,CVC,2,2,0,1,0,0,2,V,ø,F,1,kommerzialisieren,paenultima
