stress_class,all_NN_classification,all_JRip_classification,all_J48_classification,numeric_NN_classification,numeric_JRip_classification,numeric__J48_classification,sparse_NN_classification,sparse_JRip_classification,sparse_J48_classification,suffixl_NN_classification,suffix_JRip_classification,suffixl_J48_classification,praefix_NN_classification,praefix_JRip_classification,praefix_J48_classification,affix_NN_classification,affix_JRip_classification,affix_J48_classification,sonority_NN_classification,sonority_JRip_classification,sonority_48_classification,weight_NN_classification,weight_JRip_classification,weight_J48_classification,phoncat_NN_classification,phoncat_JRip_classification,phoncat_J48_classification,phon_NN_classification,phon_JRip_classification,phon_J48_classification,sylstruct_NN_classification,sylstruct_JRip_classification,sylstruct_J48_classification,meta_NN_classification,meta_JRip_classification,meta_J48_classification
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,antepaenultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,antepaenultima,prima,paenultima,prima,prima,prima,prima,prima,prima,prima
prima,prima,paenultima,prima,prima,prima,prima,prima,paenultima,prima,paenultima,paenultima,paenultima,prima,prima,prima,prima,prima,paenultima,prima,prima,prima,sekunda,sekunda,sekunda,prima,prima,antepaenultima,prima,paenultima,sekunda,prima,prima,prima,paenultima,paenultima,paenultima
sekunda,prima,prima,sekunda,prima,prima,prima,prima,prima,sekunda,paenultima,paenultima,paenultima,sekunda,prima,sekunda,prima,prima,prima,prima,prima,prima,sekunda,sekunda,sekunda,prima,prima,prima,prima,paenultima,sekunda,prima,prima,prima,prima,prima,prima
ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima
antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,antepaenultima,prima,prima,prima,paenultima,prima,paenultima,prima,prima,prima,antepaenultima,antepaenultima,antepaenultima,ultima,prima,paenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,antepaenultima,prima,antepaenultima,prima,prima,prima
prima,prima,prima,prima,sekunda,prima,sekunda,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,ultima,ultima,ultima,sekunda,sekunda,sekunda,prima,prima,sekunda,prima,prima,sekunda,prima,prima,prima,prima,prima,prima
ultima,ultima,prima,ultima,ultima,ultima,ultima,prima,ultima,ultima,prima,prima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,prima,paenultima,prima,paenultima,ultima,prima,prima,ultima,ultima,ultima,prima,prima,ultima,ultima,prima,ultima
sekunda,prima,prima,prima,prima,prima,prima,sekunda,prima,prima,prima,prima,prima,ultima,prima,ultima,ultima,prima,prima,ultima,prima,prima,sekunda,sekunda,sekunda,prima,prima,prima,prima,prima,prima,ultima,prima,ultima,prima,prima,prima
ultima,ultima,ultima,ultima,ultima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,prima,ultima,ultima,prima,ultima,paenultima,antepaenultima,ultima,ultima,prima,paenultima,prima,ultima,ultima,ultima,ultima,ultima,prima,ultima,ultima,ultima,prima,ultima
ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,prima,prima,prima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima,ultima
sekunda,sekunda,sekunda,sekunda,prima,sekunda,prima,sekunda,sekunda,sekunda,prima,prima,prima,sekunda,sekunda,sekunda,sekunda,sekunda,sekunda,prima,sekunda,prima,sekunda,ultima,sekunda,sekunda,sekunda,prima,sekunda,prima,sekunda,sekunda,prima,prima,prima,prima,prima
paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,prima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima,paenultima
antepaenultima,prima,prima,prima,prima,prima,prima,prima,ultima,prima,antepaenultima,prima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,prima,prima,prima,paenultima,prima,prima,prima,paenultima,prima,prima,prima,prima,ultima,ultima,prima,ultima
prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,ultima,prima,prima,prima,ultima,paenultima,antepaenultima,prima,prima,prima,prima,prima,prima,prima,paenultima,prima,prima,prima,prima,prima,prima,prima
prima,prima,prima,prima,sekunda,sekunda,sekunda,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,sekunda,prima,sekunda,sekunda,prima,sekunda,prima,prima,prima,prima,prima,sekunda,prima,prima,prima,prima,prima,prima
